model,accuracy_test,tn,fp,fn,tp
LogisticRegression,0.5929203539823009,96,74,64,105
LDA,0.5988200589970502,96,74,62,107
kNN,0.6784660766961652,95,75,34,135
SVM_RBF,0.6312684365781711,91,79,46,123
